Sample,C3,C4,C5,C6,C7,C8,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,Units,Citation,config,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
QR04_20170815,0,0.017,0.0727,0.0196,0.0018,,0.1669,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR05_20170815,0,0.0127,0.057,0.0178,0.0085,,0.1373,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR09_20170815,0,0.0085,0.0392,0.0077,0.0154,,0.0856,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QRFC_20170815,0,0.019,0.0504,0.0139,0.0033,,0.1204,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QROBR_20170815,0,0.017,0.0704,0.0283,0.004,,0.1731,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QRTRIB01_20170815,0,0.0268,0.0985,0.0165,0,,0.1478,0.0085,0.0025,0.0015,0.0006,0.0006,,0.0004,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR09_20190701,0.009,0.0147,0.0486,0.0003,0.0006,,0.0991,0.0052,0.0042,0.0013,0.0003,0.0002,,0.0003,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SPSB_20180711,0.0112,0,0,0.0007,0,,0.0016,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR01_20180711,0.0019,0.0012,0,0.0018,0,,0.0017,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR02_20180711,0.0052,0,0,0,0,,0.0015,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR03_20180711,0.0053,0,0,0.0007,0.0004,,0.0015,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR04_20180711,0.0073,0,0,0.0027,0,,0.0016,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MMR01_20180711,0.0261,0.0031,0.0013,0.0022,0,,0.0017,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MASHPAP_20190409,0,0.0015,0,0,0,,0.0011,0.0053,0.0023,0.0009,0.0002,0.0001,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MASH03_20190409,0.0037,0.0015,0,0,0,,0.0017,0.0053,0.0023,0.0009,0.0002,0.0001,,0.0002,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SPSB_20190701,0,0.006,0.0037,0.0035,0.0023,,0.0013,0.0052,0.0042,0.0013,0.0003,0.0002,,0.0003,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR01_20190701,0.0067,0,0.0025,0.0007,0.0008,,0.001,0.0052,0.0042,0.0013,0.0003,0.0002,,0.0003,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR02_20190701,0.0095,0.0055,0.0105,0.0006,0.0066,,0.0008,0.0052,0.0042,0.0013,0.0003,0.0002,,0.0003,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR02B_20190701,0.0063,0,0.0019,0.0006,0.0039,,0.0005,0.0052,0.0042,0.0013,0.0003,0.0002,,0.0003,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SR03_20190701,0.0142,0.005,0.0074,0,0.0091,,0.0016,0.0052,0.0042,0.0013,0.0003,0.0002,,0.0003,nM,"Ruyle et al., 2021",unknown.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,,,,,,,,,,,,,,,,,,,,,,,,
Ruyle et al. 2021:  http://dx.doi.org/10.1021/acs.est.0c07296,,,,,,,,,,,,,,,,,,,,,,,,
